TID,Date,Service 1,Service 2,Service 3,Service 4,TotalPrice
10052,17/02/2025,Car Wash,Polishing,Tire Replacement,,162000
10053,03/02/2025,Deodorizing,Waxing,Car Wash,,124000
10054,17/09/2024,Car Wash,Tire Shine,,,448000
10055,12/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,558000
10056,20/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,469000
10057,06/07/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,897000
10058,17/02/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,263000
10059,20/05/2024,Car Wash,Polishing,Tire Replacement,,540000
10060,20/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,478000
10061,02/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,344000
10062,13/05/2024,Deodorizing,Waxing,Car Wash,,179000
10063,08/01/2025,Car Wash,Tire Shine,,,127000
10064,14/01/2025,Car Wash,Underbody Wash,,,700000
10065,17/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,365000
10066,27/08/2024,Car Wash,Underbody Wash,,,174000
10067,18/09/2024,Waxing,Polishing,Car Wash,,363000
10068,08/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,69000
10069,09/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,438000
10070,08/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,390000
10071,16/05/2024,Deodorizing,Waxing,Car Wash,,466000
10072,15/02/2025,Car Wash,Tire Shine,,,443000
10073,23/04/2025,Car Wash,Underbody Wash,,,243000
10074,20/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,476000
10075,08/12/2024,Car Wash,Underbody Wash,,,126000
10076,21/03/2025,Waxing,Polishing,Car Wash,,296000
10077,10/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,78000
10078,29/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,240000
10079,27/06/2024,Car Wash,Tire Shine,,,390000
10080,19/07/2024,Car Wash,Polishing,Tire Replacement,,410000
10081,04/07/2024,Car Wash,Polishing,Tire Replacement,,888000
10082,25/06/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,250000
10083,11/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,557000
10084,20/04/2025,Car Wash,Polishing,Tire Replacement,,421000
10085,20/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,480000
10086,03/06/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,561000
10087,21/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,404000
10088,27/02/2025,Car Wash,Underbody Wash,,,526000
10089,22/10/2024,Car Wash,Tire Shine,,,786000
10090,18/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,326000
10091,03/01/2025,Waxing,Polishing,Car Wash,,128000
10092,25/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,652000
10093,30/12/2024,Car Wash,Tire Shine,,,286000
10094,23/03/2025,Car Wash,Tire Shine,,,282000
10095,21/05/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,670000
10096,23/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,391000
10097,19/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,543000
10098,18/06/2024,Car Wash,Tire Shine,,,100000
10099,18/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,215000
10100,16/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,365000
10101,27/11/2024,Waxing,Polishing,Car Wash,,157000
10102,25/07/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,301000
10103,09/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,270000
10104,23/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,497000
10105,28/02/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,272000
10106,09/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,293000
10107,12/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,108000
10108,29/09/2024,Deodorizing,Waxing,Car Wash,,527000
10109,04/10/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,477000
10110,12/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,257000
10111,13/12/2024,Waxing,Polishing,Car Wash,,363000
10112,26/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,244000
10113,27/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,283000
10114,18/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,255000
10115,04/07/2024,Car Wash,Tire Shine,,,356000
10116,12/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,437000
10117,27/05/2024,Car Wash,Tire Shine,,,689000
10118,17/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,810000
10119,15/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,375000
10120,24/07/2024,Car Wash,Underbody Wash,,,63000
10121,11/03/2025,Deodorizing,Waxing,Car Wash,,518000
10122,19/07/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,733000
10123,29/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,738000
10124,25/02/2025,Waxing,Polishing,Car Wash,,338000
10125,02/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,647000
10126,16/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,617000
10127,24/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,814000
10128,16/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,809000
10129,18/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,888000
10130,19/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,189000
10131,29/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,152000
10132,12/07/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,703000
10133,20/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,684000
10134,30/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,482000
10135,31/05/2024,Car Wash,Polishing,Tire Replacement,,306000
10136,15/04/2025,Waxing,Polishing,Car Wash,,973000
10137,27/03/2025,Waxing,Polishing,Car Wash,,964000
10138,08/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,610000
10139,02/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,60000
10140,20/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,664000
10141,01/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,324000
10142,12/12/2024,Deodorizing,Interior Vacuuming,Car Wash,,870000
10143,13/07/2024,Car Wash,Polishing,Tire Replacement,,812000
10144,23/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,531000
10145,20/09/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,181000
10146,04/06/2024,Deodorizing,Waxing,Car Wash,,372000
10147,02/11/2024,Waxing,Polishing,Car Wash,,290000
10148,06/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,622000
10149,05/12/2024,Car Wash,Polishing,Tire Replacement,,542000
10150,14/07/2024,Car Wash,Underbody Wash,,,401000
10151,12/06/2024,Deodorizing,Interior Vacuuming,Car Wash,,194000
10152,06/11/2024,Car Wash,Polishing,Tire Replacement,,443000
10153,05/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,99000
10154,08/08/2024,Car Wash,Underbody Wash,,,429000
10155,15/08/2024,Waxing,Polishing,Car Wash,,745000
10156,01/07/2024,Car Wash,Polishing,Tire Replacement,,259000
10157,22/08/2024,Waxing,Polishing,Car Wash,,318000
10158,10/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,551000
10159,11/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,596000
10160,24/01/2025,Car Wash,Polishing,Tire Replacement,,666000
10161,23/05/2024,Car Wash,Tire Shine,,,466000
10162,29/07/2024,Car Wash,Underbody Wash,,,149000
10163,14/11/2024,Car Wash,Polishing,Tire Replacement,,429000
10164,27/12/2024,Car Wash,Polishing,Tire Replacement,,824000
10165,23/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,710000
10166,27/02/2025,Car Wash,Underbody Wash,,,380000
10167,26/03/2025,Waxing,Polishing,Car Wash,,451000
10168,22/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,330000
10169,18/11/2024,Car Wash,Underbody Wash,,,244000
10170,26/11/2024,Car Wash,Underbody Wash,,,280000
10171,08/07/2024,Deodorizing,Waxing,Car Wash,,75000
10172,07/02/2025,Car Wash,Polishing,Tire Replacement,,564000
10173,20/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,382000
10174,17/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,570000
10175,23/03/2025,Car Wash,Polishing,Tire Replacement,,725000
10176,25/12/2024,Deodorizing,Waxing,Car Wash,,873000
10177,24/03/2025,Car Wash,Underbody Wash,,,152000
10178,01/01/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,367000
10179,12/07/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,294000
10180,02/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,135000
10181,20/01/2025,Car Wash,Underbody Wash,,,116000
10182,06/03/2025,Car Wash,Polishing,Tire Replacement,,149000
10183,26/11/2024,Deodorizing,Waxing,Car Wash,,145000
10184,16/02/2025,Car Wash,Tire Shine,,,576000
10185,13/11/2024,Car Wash,Underbody Wash,,,249000
10186,27/08/2024,Car Wash,Polishing,Tire Replacement,,648000
10187,17/03/2025,Deodorizing,Waxing,Car Wash,,298000
10188,04/10/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,556000
10189,08/02/2025,Waxing,Polishing,Car Wash,,979000
10190,13/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,181000
10191,05/12/2024,Deodorizing,Interior Vacuuming,Car Wash,,515000
10192,04/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,150000
10193,14/09/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,498000
10194,29/11/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,756000
10195,18/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,634000
10196,28/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,350000
10197,05/05/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,111000
10198,04/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,351000
10199,01/05/2025,Deodorizing,Interior Vacuuming,Car Wash,,821000
10200,11/10/2024,Car Wash,Polishing,Tire Replacement,,76000
10201,10/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,181000
10202,13/09/2024,Deodorizing,Waxing,Car Wash,,279000
10203,27/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,540000
10204,24/03/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,824000
10205,02/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,770000
10206,03/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,758000
10207,25/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,630000
10208,13/10/2024,Car Wash,Polishing,Tire Replacement,,472000
10209,27/08/2024,Waxing,Polishing,Car Wash,,536000
10210,19/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,690000
10211,29/12/2024,Waxing,Polishing,Car Wash,,594000
10212,16/11/2024,Waxing,Polishing,Car Wash,,745000
10213,11/09/2024,Deodorizing,Waxing,Car Wash,,233000
10214,16/06/2024,Car Wash,Tire Shine,,,456000
10215,01/09/2024,Deodorizing,Interior Vacuuming,Car Wash,,461000
10216,19/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,225000
10217,13/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,547000
10218,18/05/2024,Car Wash,Polishing,Tire Replacement,,132000
10219,24/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,198000
10220,04/07/2024,Deodorizing,Waxing,Car Wash,,650000
10221,13/12/2024,Deodorizing,Waxing,Car Wash,,99000
10222,12/04/2025,Car Wash,Tire Shine,,,139000
10223,07/07/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,157000
10224,11/05/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,52000
10225,08/06/2024,Car Wash,Tire Shine,,,549000
10226,09/06/2024,Deodorizing,Waxing,Car Wash,,145000
10227,16/02/2025,Car Wash,Underbody Wash,,,916000
10228,10/11/2024,Deodorizing,Waxing,Car Wash,,845000
10229,27/06/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,421000
10230,26/09/2024,Car Wash,Underbody Wash,,,220000
10231,19/11/2024,Waxing,Polishing,Car Wash,,278000
10232,13/04/2025,Deodorizing,Interior Vacuuming,Car Wash,,267000
10233,05/12/2024,Car Wash,Polishing,Tire Replacement,,378000
10234,01/07/2024,Car Wash,Polishing,Tire Replacement,,245000
10235,31/05/2024,Car Wash,Polishing,Tire Replacement,,371000
10236,27/01/2025,Waxing,Polishing,Car Wash,,494000
10237,24/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,384000
10238,22/09/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,281000
10239,02/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,211000
10240,26/12/2024,Car Wash,Polishing,Tire Replacement,,360000
10241,11/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,859000
10242,17/03/2025,Car Wash,Tire Shine,,,214000
10243,24/10/2024,Waxing,Polishing,Car Wash,,213000
10244,28/09/2024,Waxing,Polishing,Car Wash,,638000
10245,09/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,457000
10246,08/04/2025,Car Wash,Tire Shine,,,106000
10247,11/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,223000
10248,26/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,694000
10249,25/11/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,238000
10250,05/08/2024,Car Wash,Underbody Wash,,,217000
10251,29/04/2025,Car Wash,Underbody Wash,,,852000
10252,23/10/2024,Car Wash,Tire Shine,,,121000
10253,07/10/2024,Car Wash,Polishing,Tire Replacement,,51000
10254,08/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,360000
10255,28/03/2025,Deodorizing,Waxing,Car Wash,,229000
10256,07/10/2024,Deodorizing,Interior Vacuuming,Car Wash,,256000
10257,25/05/2024,Waxing,Polishing,Car Wash,,563000
10258,20/09/2024,Waxing,Polishing,Car Wash,,636000
10259,16/07/2024,Waxing,Polishing,Car Wash,,107000
10260,12/07/2024,Deodorizing,Interior Vacuuming,Car Wash,,365000
10261,22/02/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,555000
10262,17/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,586000
10263,23/07/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,143000
10264,08/02/2025,Deodorizing,Waxing,Car Wash,,713000
10265,11/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,649000
10266,29/09/2024,Deodorizing,Waxing,Car Wash,,293000
10267,20/12/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,463000
10268,11/03/2025,Car Wash,Polishing,Tire Replacement,,274000
10269,10/11/2024,Car Wash,Tire Shine,,,380000
10270,24/09/2024,Car Wash,Underbody Wash,,,747000
10271,03/07/2024,Car Wash,Polishing,Tire Replacement,,427000
10272,11/09/2024,Car Wash,Tire Shine,,,175000
10273,08/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,634000
10274,10/03/2025,Car Wash,Tire Shine,,,677000
10275,05/03/2025,Deodorizing,Waxing,Car Wash,,157000
10276,24/06/2024,Car Wash,Underbody Wash,,,50000
10277,20/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,410000
10278,15/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,691000
10279,14/06/2024,Deodorizing,Waxing,Car Wash,,304000
10280,26/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,295000
10281,26/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,670000
10282,12/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,733000
10283,24/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,299000
10284,24/04/2025,Car Wash,Underbody Wash,,,103000
10285,19/10/2024,Waxing,Polishing,Car Wash,,782000
10286,20/10/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,495000
10287,10/04/2025,Car Wash,Underbody Wash,,,346000
10288,12/05/2024,Car Wash,Polishing,Tire Replacement,,976000
10289,22/07/2024,Waxing,Polishing,Car Wash,,621000
10290,02/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,431000
10291,05/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,197000
10292,19/01/2025,Car Wash,Underbody Wash,,,87000
10293,19/03/2025,Deodorizing,Waxing,Car Wash,,454000
10294,25/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,348000
10295,22/01/2025,Car Wash,Polishing,Tire Replacement,,456000
10296,24/04/2025,Car Wash,Tire Shine,,,867000
10297,15/04/2025,Car Wash,Polishing,Tire Replacement,,476000
10298,19/03/2025,Deodorizing,Waxing,Car Wash,,183000
10299,10/11/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,380000
10300,07/01/2025,Deodorizing,Interior Vacuuming,Car Wash,,760000
10301,10/06/2024,Deodorizing,Waxing,Car Wash,,430000
10302,12/04/2025,Car Wash,Underbody Wash,,,843000
10303,18/02/2025,Waxing,Polishing,Car Wash,,514000
10304,23/08/2024,Car Wash,Polishing,Tire Replacement,,1047000
10305,19/05/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,54000
10306,24/03/2025,Waxing,Polishing,Car Wash,,261000
10307,01/01/2025,Waxing,Polishing,Car Wash,,280000
10308,28/06/2024,Car Wash,Underbody Wash,,,730000
10309,04/11/2024,Waxing,Polishing,Car Wash,,492000
10310,30/03/2025,Waxing,Polishing,Car Wash,,586000
10311,29/07/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,268000
10312,11/11/2024,Car Wash,Polishing,Tire Replacement,,905000
10313,27/12/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,721000
10314,21/10/2024,Deodorizing,Waxing,Car Wash,,734000
10315,21/02/2025,Deodorizing,Waxing,Car Wash,,470000
10316,08/10/2024,Car Wash,Tire Shine,,,565000
10317,01/12/2024,Deodorizing,Waxing,Car Wash,,391000
10318,08/11/2024,Car Wash,Underbody Wash,,,358000
10319,09/12/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,500000
10320,10/08/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,193000
10321,19/09/2024,Waxing,Polishing,Car Wash,,626000
10322,25/04/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,58000
10323,13/04/2025,Car Wash,Tire Shine,,,221000
10324,04/12/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,380000
10325,16/05/2024,Deodorizing,Interior Vacuuming,Car Wash,,294000
10326,12/03/2025,Car Wash,Tire Shine,,,387000
10327,04/07/2024,Car Wash,Tire Shine,,,737000
10328,27/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,151000
10329,11/10/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,640000
10330,04/07/2024,Car Wash,Underbody Wash,,,554000
10331,30/03/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,864000
10332,21/11/2024,Car Wash,Tire Shine,,,661000
10333,25/12/2024,Deodorizing,Waxing,Car Wash,,252000
10334,06/04/2025,Car Wash,Tire Shine,,,57000
10335,12/07/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,685000
10336,14/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,645000
10337,15/12/2024,Car Wash,Polishing,Tire Replacement,,343000
10338,14/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,371000
10339,31/07/2024,Deodorizing,Waxing,Car Wash,,603000
10340,15/09/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,469000
10341,29/11/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,130000
10342,07/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,709000
10343,28/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,544000
10344,20/07/2024,Deodorizing,Waxing,Car Wash,,454000
10345,13/03/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,647000
10346,01/11/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,568000
10347,31/05/2024,Car Wash,Underbody Wash,,,148000
10348,05/07/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,201000
10349,27/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,468000
10350,11/06/2024,Waxing,Polishing,Car Wash,,607000
10351,19/08/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,753000
10352,16/07/2024,Waxing,Polishing,Car Wash,,588000
10353,24/04/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,485000
10354,20/02/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,369000
10355,14/05/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,637000
10356,31/08/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,414000
10357,13/12/2024,Interior Vacuuming,Engine Cleaning,Car Wash,,510000
10358,17/04/2025,Car Wash,Tire Shine,,,653000
10359,04/03/2025,Waxing,Polishing,Car Wash,,330000
10360,05/11/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,518000
10361,29/01/2025,Waxing,Tire Shine,Engine Cleaning,Car Wash,424000
10362,31/10/2024,Waxing,Polishing,Car Wash,,194000
10363,01/02/2025,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,656000
10364,12/08/2024,Car Wash,Tire Shine,,,277000
10365,23/02/2025,Car Wash,Polishing,Tire Replacement,,466000
10366,01/02/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,105000
10367,21/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,127000
10368,13/07/2024,Car Wash,Polishing,Tire Replacement,,993000
10369,01/08/2024,Deodorizing,Interior Vacuuming,Car Wash,,210000
10370,25/04/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,587000
10371,14/08/2024,Car Wash,Tire Shine,,,720000
10372,14/08/2024,Car Wash,Tire Shine,,,87000
10373,03/01/2025,Car Wash,Underbody Wash,,,243000
10374,25/09/2024,Car Wash,Tire Shine,,,574000
10375,05/02/2025,Waxing,Polishing,Car Wash,,79000
10376,23/04/2025,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,982000
10377,10/01/2025,Deodorizing,Waxing,Car Wash,,247000
10378,17/08/2024,Car Wash,Bug & Tar Removal,Polishing,Tire Shine,762000
10379,13/01/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,216000
10380,09/11/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,482000
10381,22/11/2024,Waxing,Polishing,Car Wash,,553000
10382,01/06/2024,Waxing,Tire Shine,Engine Cleaning,Car Wash,820000
10383,08/10/2024,Waxing,Polishing,Car Wash,,204000
10384,07/04/2025,Waxing,Polishing,Car Wash,,326000
10385,12/06/2024,Car Wash,Underbody Wash,,,526000
10386,01/06/2024,Underbody Wash,Engine Cleaning,Interior Vacuuming,Car Wash,636000
10387,23/05/2024,Deodorizing,Waxing,Car Wash,,338000
10388,01/03/2025,Interior Vacuuming,Engine Cleaning,Car Wash,,176000
